filename,label,transformations
cat\cat_(1).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(10).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(11).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(12).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(13).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(14).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(15).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(16).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(17).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(18).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(19).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(20).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(21).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(22).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(23).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(24).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(25).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(26).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(27).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(28).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(29).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(3).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(30).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(31).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(32).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(33).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(34).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(35).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(36).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(37).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(38).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(39).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(4).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(40).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(41).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(42).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(43).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(44).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(5).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(6).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
