,Name,New_Price
2,Maruti Ertiga VDI," Rs. 11.11 - 20.50 Lakh
"
3,Audi A4 New 2.0 TDI Multitronic," Rs. 11.11 - 20.50 Lakh
"
4,Hyundai EON LPG Era Plus Option," Rs. 46.99 - 55.84 Lakh
"
5,Nissan Micra Diesel XV," Rs. 46.99 - 55.84 Lakh
"
8,Honda City 1.5 V AT Sunroof," Rs. 4.14 - 6.70 Lakh
"
9,Maruti Swift VDI BSIV," Rs. 4.14 - 6.70 Lakh
"
10,Land Rover Range Rover 2.2L Pure," Rs. 11.19 - 20.15 Lakh
"
11,Land Rover Freelander 2 TD4 SE," Rs. 11.19 - 20.15 Lakh
"
14,Renault Duster 85PS Diesel RxL Plus," Rs. 11.19 - 20.15 Lakh
"
15,Mercedes-Benz New C-Class C 220 CDI BE Avantgare," Rs. 11.19 - 20.15 Lakh
"
18,Hyundai i20 1.2 Magna," Rs. 65.72 - 72.06 Lakh
"
19,Volkswagen Vento Petrol Highline AT," Rs. 65.72 - 72.06 Lakh
"
20,Honda City Corporate Edition," Rs. 11.56 Lakh
"
21,Maruti Alto K10 2010-2014 VXI," Rs. 11.56 Lakh
"
22,Toyota Innova 2.5 V Diesel 7-seater," Rs. 11.19 - 20.15 Lakh
"
23,Renault Duster 110PS Diesel RxZ Pack," Rs. 11.19 - 20.15 Lakh
"
26,Audi A6 2.7 TDI," Rs. 22.14 - 25.92 Lakh
"
27,Maruti Wagon R LXI BSIII," Rs. 22.14 - 25.92 Lakh
"
28,Mahindra KUV 100 mFALCON G80 K6 5str AW," Rs. 5.65 - 7.48 Lakh
"
29,Mercedes-Benz M-Class ML 350 CDI," Rs. 5.65 - 7.48 Lakh
"
32,Tata Nano LX SE," Rs. 4.23 - 6.21 Lakh
"
33,Mahindra KUV 100 mFALCON D75 K8 Dual Tone," Rs. 4.23 - 6.21 Lakh
"
36,Hyundai Elantra CRDi," Rs. 6.90 - 10.00 Lakh
"
37,Hyundai Xcent 1.1 CRDi S," Rs. 6.90 - 10.00 Lakh
"
40,Maruti Swift LDI," Rs. 46.99 - 55.84 Lakh
"
41,Maruti Swift Ldi BSIV," Rs. 46.99 - 55.84 Lakh
"
42,Maruti Swift VDI," Rs. 6.49 - 9.64 Lakh
"
43,Hyundai Grand i10 Sportz," Rs. 6.49 - 9.64 Lakh
"
44,Volkswagen Vento 2013-2015 1.6 Comfortline," Rs. 5.98 - 8.62 Lakh
"
45,Renault KWID RXT," Rs. 5.98 - 8.62 Lakh
"
46,Hyundai i10 Asta," Rs. 5.50 Lakh
"
47,Nissan X-Trail SLX AT," Rs. 5.50 Lakh
"
50,Mercedes-Benz New C-Class C 200 CGI Avantgarde," Rs. 9.99 Lakh
"
51,Mercedes-Benz New C-Class 200 CDI Classic," Rs. 9.99 Lakh
"
54,Honda City ZX CVT," Rs. 46.99 - 55.84 Lakh
"
55,Maruti Ertiga SHVS VDI," Rs. 46.99 - 55.84 Lakh
"
56,Porsche Cayenne 2009-2014 Turbo," Rs. 11.19 - 20.15 Lakh
"
57,Mahindra XUV500 W8 4WD," Rs. 11.19 - 20.15 Lakh
"
58,Hyundai i10 Sportz 1.2 AT," Rs. 7.99 - 15.57 Lakh
"
59,Honda Brio VX AT," Rs. 7.99 - 15.57 Lakh
"
60,Audi A6 2.0 TDI Design Edition," Rs. 11.79 - 16.93 Lakh
"
61,Ford Fiesta 1.4 SXi TDCi," Rs. 11.79 - 16.93 Lakh
"
62,Toyota Innova 2.0 G1," Rs. 6.49 - 9.64 Lakh
"
63,Toyota Innova 2.5 VX 7 STR BSIV," Rs. 6.49 - 9.64 Lakh
"
64,Hyundai Santro Xing XL," Rs. 19.99 - 26.82 Lakh
"
65,Honda Amaze SX i-VTEC," Rs. 19.99 - 26.82 Lakh
"
66,Ford Figo Diesel ZXI," Rs. 8.19 - 11.29 Lakh
"
67,Maruti Ritz VDi," Rs. 8.19 - 11.29 Lakh
"
68,Honda City i VTEC E," Rs. 4.62 - 7.01 Lakh
"
69,BMW 5 Series 2003-2012 525d," Rs. 4.62 - 7.01 Lakh
"
70,Hyundai i10 Sportz 1.2," Rs. 72.90 Lakh
"
71,Hyundai Santro Xing XO," Rs. 72.90 Lakh
"
72,Toyota Fortuner 4x2 Manual," Rs. 3.22 - 4.33 Lakh
"
73,Audi A6 2011-2015 35 TDI Premium," Rs. 3.22 - 4.33 Lakh
"
74,Ford Ecosport 1.5 DV5 MT Titanium Optional," Rs. 65.72 - 72.06 Lakh
"
75,Mahindra XUV500 W8 2WD," Rs. 65.72 - 72.06 Lakh
"
76,Honda Amaze SX i-DTEC," Rs. 7.99 - 15.57 Lakh
"
77,Volkswagen Polo Diesel Highline 1.2L," Rs. 7.99 - 15.57 Lakh
"
80,Volkswagen Polo Petrol Highline 1.6L," Rs. 11.19 - 20.15 Lakh
"
81,Hyundai i20 1.4 CRDi Sportz," Rs. 11.19 - 20.15 Lakh
"
82,Hyundai i20 Asta 1.2," Rs. 7.04 - 11.25 Lakh
"
83,Audi A4 3.0 TDI Quattro Premium," Rs. 7.04 - 11.25 Lakh
"
84,Hyundai i20 2015-2017 Asta," Rs. 46.99 - 55.84 Lakh
"
85,Maruti Omni 5 Str STD," Rs. 46.99 - 55.84 Lakh
"
86,Jaguar XF 3.0 Litre S Premium Luxury," Rs. 4.26 - 6.12 Lakh
"
87,Hyundai Verna 1.6 SX CRDI (O) AT," Rs. 4.26 - 6.12 Lakh
"
88,Tata Nano Twist XT," Rs. 11.07 - 17.55 Lakh
"
89,Honda Civic 2006-2010 1.8 V MT," Rs. 11.07 - 17.55 Lakh
"
90,Toyota Innova 2.5 VX (Diesel) 7 Seater," Rs. 11.19 - 20.15 Lakh
"
91,Volvo V40 Cross Country D3," Rs. 11.19 - 20.15 Lakh
"
92,BMW 5 Series 2010-2013 525i," Rs. 65.31 Lakh
"
93,Hyundai Santro Xing XL eRLX Euro III," Rs. 65.31 Lakh
"
94,Mercedes-Benz B Class B200 CDI," Rs. 3.22 - 4.33 Lakh
"
95,Maruti Wagon R LXI BS IV," Rs. 3.22 - 4.33 Lakh
"
96,Tata Nano XTA," Rs. 5.65 - 7.48 Lakh
"
97,Mahindra Scorpio VLX," Rs. 5.65 - 7.48 Lakh
"
98,Mercedes-Benz New C-Class 200 K AT," Rs. 13.99 - 24.89 Lakh
"
99,Honda CR-V 2.4 MT," Rs. 13.99 - 24.89 Lakh
"
100,Volkswagen Vento 1.5 TDI Comfortline AT," Rs. 11.11 - 20.50 Lakh
"
101,Maruti Ciaz VXi Plus," Rs. 11.11 - 20.50 Lakh
"
102,Mahindra XUV500 AT W10 FWD," Rs. 11.19 - 20.15 Lakh
"
103,Maruti Ritz VXI ABS," Rs. 11.19 - 20.15 Lakh
"
104,Maruti Alto LXi BSIII," Rs. 11.19 - 20.15 Lakh
"
105,BMW 1 Series 118d Base," Rs. 11.19 - 20.15 Lakh
"
106,Honda Jazz 1.2 V CVT i VTEC," Rs. 72.90 Lakh
"
107,Mercedes-Benz New C-Class C 220 CDI Avantgarde," Rs. 72.90 Lakh
"
110,Toyota Fortuner 3.0 Diesel," Rs. 3.22 - 4.33 Lakh
"
111,Chevrolet Beat LT Option," Rs. 3.22 - 4.33 Lakh
"
112,Skoda Rapid 1.5 TDI Elegance," Rs. 4.43 - 5.88 Lakh
"
113,Maruti Ciaz 1.4 Alpha," Rs. 4.43 - 5.88 Lakh
"
114,Mercedes-Benz S Class 2005 2013 S 500," Rs. 9.41 - 12.47 Lakh
"
115,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package," Rs. 9.41 - 12.47 Lakh
"
116,Skoda Superb Elegance 2.0 TDI CR AT," Rs. 7.89 - 14.40 Lakh
"
117,Hyundai EON Magna Plus," Rs. 7.89 - 14.40 Lakh
"
118,Datsun GO NXT," Rs. 11.11 - 20.50 Lakh
"
119,Honda Brio S MT," Rs. 11.11 - 20.50 Lakh
"
120,Mercedes-Benz B Class B180," Rs. 7.52 - 13.04 Lakh
"
121,Honda City i DTEC V," Rs. 7.52 - 13.04 Lakh
"
122,Toyota Innova 2.5 G (Diesel) 7 Seater," Rs. 11.92 - 16.65 Lakh
"
123,Maruti Swift VXI Optional," Rs. 11.92 - 16.65 Lakh
"
124,Ford Ecosport 1.5 DV5 MT Ambiente," Rs. 11.19 - 20.15 Lakh
"
125,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy," Rs. 11.19 - 20.15 Lakh
"
126,BMW X5 xDrive 30d," Rs. 11.56 - 19.40 Lakh
"
127,Mercedes-Benz New C-Class C 220 CDI Style," Rs. 11.56 - 19.40 Lakh
"
130,Mercedes-Benz GLC 220," Rs. 7.79 Lakh
"
131,Audi A6 2011-2015 2.0 TDI Premium Plus," Rs. 7.79 Lakh
"
132,Mini Countryman Cooper D," Rs. 65.72 - 72.06 Lakh
"
133,Hyundai i20 Asta 1.4 CRDi," Rs. 65.72 - 72.06 Lakh
"
134,Chevrolet Beat Diesel LT," Rs. 7.04 - 11.25 Lakh
"
135,Skoda Superb Elegance 1.8 TSI AT," Rs. 7.04 - 11.25 Lakh
"
138,Renault Lodgy 110PS RxZ 8 Seater," Rs. 7.81 - 10.00 Lakh
"
139,Mercedes-Benz E-Class E250 CDI Avantgrade," Rs. 7.81 - 10.00 Lakh
"
142,Mahindra Scorpio 1.99 S10 4WD," Rs. 5.98 - 8.62 Lakh
"
143,Land Rover Range Rover 2.2L Dynamic," Rs. 5.98 - 8.62 Lakh
"
146,Skoda Laura Ambiente," Rs. 7.79 Lakh
"
147,Renault Duster 85PS Diesel RxL," Rs. 7.79 Lakh
"
150,Tata Indigo eCS GLX," Rs. 7.89 - 14.40 Lakh
"
151,Audi Q3 2012-2015 35 TDI Quattro Premium Plus," Rs. 7.89 - 14.40 Lakh
"
152,Skoda Octavia Elegance 1.8 TSI AT," Rs. 44.99 - 55.64 Lakh
"
153,Toyota Etios Liva GD SP," Rs. 44.99 - 55.64 Lakh
"
154,Maruti Swift 1.3 VXi," Rs. 5.63 - 7.80 Lakh
"
155,Renault Duster 85PS Diesel RxL Optional," Rs. 5.63 - 7.80 Lakh
"
158,Mercedes-Benz New C-Class C250 Avantgarde," Rs. 11.19 - 20.15 Lakh
"
159,Audi A8 L 3.0 TDI quattro," Rs. 11.19 - 20.15 Lakh
"
160,Skoda Rapid 1.6 MPI AT Style Black Package," Rs. 1.34 - 1.63 Crore
"
161,Hyundai i20 Active 1.2 SX," Rs. 1.34 - 1.63 Crore
"
