,Dialogue,age
0,대통령 각하께서 입장하십니다!,80
1,"본부장님, 박처장이 못 온답니다.",80
2,... 상전이 따로 읍네. 밥이나 묵자.,80
3,"진작, 사망했습니다.",80
4,...살리세요.,80
5,...강심제.,80
6,남영동에서... 시나이가 깨졌습니다.,80
7,처장님께서 사거리 통과하셨답니다.,80
8,소생이 불가능합니다.,80
9,...옮겨.,80
10,"의사, 누가 불렀어?",80
11,접니다. 용공분자도 아니고 참고인이라서...,80
12,"새끼가 보고도 없이... 목격자 생겼잖아, 목격자! 어쩔거야?",80
13,보따리 하나 터진 거 개지고 소란 떨거 있네? 밥들 먹으라우.,80
14,시신은... 어떻게 할까요?,80
15,...태우라우.,80
16,받들겠습니다!,80
17,아이고~ 처장님. 축하드립니다.,80
18,"영광스러운 자리에 참석도 못하고, 제가 죄송한 게 많습니다.",80
19,없디요.,80
20,각하께서... 직접 못 줘서 미안하다고 하셨습니다.,80
21,영광입네다.,80
22,김정남?,80
23,"인혁당. 민청학린, 보도지침 폭로, 인천사태 배후 조종자디요.",80
24,"변변한 직책도 없는 놈인데, 뭘 하시려고...",80
25,고거래 김영삼이 단식 성명서.,80
26,"김대중이 김영삼이, 8.15 공동 선언문 작성자입네다.",80
27,한 보따리로 엮으시겠다?,80
28,"고거이 김일성이 끄나풀로 밝혀지문, 대통령 직선제 개나발 부는 간나들.",80
29,단칼에 격멸하갓디요.,80
30,역시... 청와대 주인은 바뀌어도 남영동 주인은 안바뀐다더니...,80
31,정말 대단하십니다.,80
32,빨리 검거해서 대학생들 개학 전에 정리합시다.,80
33,차질없이 준비하갓습네다.,80
34,"새끼, 신성한 소주병에 휘발유나 처넣고...",80
35,휘발유 아닌데요.,80
36,뭐?,80
37,신나예요.,80
38,잘 났다. 새꺄. 잘 났다. 잘 났어.,80
39,부모 가슴에 대못 박어서 좋냐? 좋아?,80
40,짜장면이요!,80
41,영감님! 저 왔습니다.,80
42,웬일이야? 이 시간에?,80
43,아이구야... 공안부장님이 그딴 거 드셔야 되겠습니까?,80
44,나가시죠. 제가 모시겠습니다.,80
45,그르까? ㅎㅎㅎ.,80
46,도장 하나만 찍어주십쇼.,80
47,간만에 공짜술 얻어먹나 했더니...,80
48,안 본 사이에 많이 못 써졌어?,80
49,심장마비 스물두살짜리가?,80
50,오늘 밤 안으로 화장해야 합니다.,80
51,"죽은 지 여덟시간도 안됐는데? 아버지가 죽은 아들, 봤다? 못봤다?",80
52,못 봤네. 못봤어.,80
53,부산 영도경찰서에서 부친한테 동의 받았습니다.,80
54,"이 양반아, 아버지란 사람이 서울대 다니는 아들 시신도 안보고 '화장해주세요' 했다",80
55,고?,80
56,구라를 쳐도 좀 적당히 쳐! 이걸 누가 믿냐?,80
57,대공 업웁니다. 찍으시죠.,80
58,이 새끼가 누구한테 찍으라 마라...,80
59,아 또 왜 이러십니까... 눈 딱 감고 한번만 찍어 주십쇼. 화끈하게 모시겠습니다.,80
60,웬만해야지!,80
61,부검해서 사인이 나와야 화장을 하든 매장을 하든 할 거 아냐?,80
62,법이 그래. 법이!,80
63,알죠. 예! 누가 모릅니까? 위에서 해 뜨기 전에 화장하랍니다!,80
64,위? 어디? 안기부? 청와대?,80
65,영감님. 저 좀 살려주십쇼!,80
66,"낼 아침에 얼른 부검해서, 오후에 화장해.",80
67,뿔었잖아!,80
68,에이...,80
69,"아. 서울대생, 별 문제 없겠죠?",80
70,관례대로 처리 중입네다.,80
71,알죠. 아는데... 어차피 지금. 화장터 문 닫았습니다....예.,80
72,괴... 굉장히 급한 전화 같아서...,80
73,"부장님, 밖에 좀...",80
74,웬일이십니까? 저녁 약속 있으시다고...,80
75,"청와대 전화 받고 밥이 넘어가겠냐? 너, 왜 그래?",80
76,"대공 새끼들, 검사를 개똥으로 알잖습니까. 버르장머리를 고쳐야겠습니다.",80
77,너부터 고쳐.,80
78,웃어? 찍어. 인마. 줄초상 난다.,80
79,제가 알아서...,80
80,"너 이 새끼, 장인 빽 믿고 설치는 모양인데, 전화 한통만 더 받기만 해.",80
81,도장 씨발. 내가 찍는다. 알았어?,80
82,"대답 안해? 찍을래, 말래?",80
83,찍겠습니다.,80
84,시신에 손만 대봐! 공무집행방해죄로 족친다.,80
85,내가!,80
86,여.. 영감! 영감님!,80
87,영감!,80
88,빨리빨리 안와?,80
89,빠져 가지고...,80
90,"하이고... 얼마나 바쁜지, 오줌싸고 손 씻을 시간도 없습니다.",80
91,원래 안 씻잖아?,80
92,"으흐흐, 대충 하고 가시죠.",80
93,간만에 형수님 찌개에 쐬주 일병?,80
94,집에 안가. 못가.,80
95,또 싸우셨어요?,80
96,집 전화 때려 부수면 마누라한테 혼나요.,80
97,"어허, 누가 또 겁도 없이 우리 형님 콧털을 뽑았으까?",80
98,대공 새끼들이 또 사고쳤다. 대한민국 검사를 호구로 알아.,80
99,씹새끼들.,80
100,군바리들이 오냐오냐하니까 세상이 만만해 보이는 거죠.,80
101,하~ 이 썅놈에 새끼들... 확 그냥 들이받고 사표 쓰까?,80
102,그래봐야 공구리에 금이나 가겠어요?,80
103,형님 머리만 깨지지.,80
104,그래서 말인데.. 니가 쥐약 좀 뿌려야겠다.,80
105,쥐약..이요?,80
106,나이스 샷!,80
107,"아따메 공이 허벌나게 빨라블구마잉... 우리 처장님, 회춘하신거시 확실혀.",80
108,해구신 약빨이 아죠. 지대로 받아부렀어!,80
109,"공안부장, 종적이 묘연합니다. 근처 여관까지 샅샅이 뒤졌는데...",80
110,"그 아새끼, 빨갱이네?",80
111,이유를... 모르겠습니다.,80
112,"서울지검, 지검장 연결하라우.",80
113,"지검장님, 최부장이 행방불명입니다.",80
114,"수사관들, 싹 다 풀어.",80
115,"으이그 저 화상... 최부장, 최부장!",80
116,오셨습니까...,80
117,아흑....,80
118,내가 인마. 아침부터 박처장 전화 받아야 되겠냐? 재수 옴붙었어.,80
119,대충 마무리 하자.,80
120,딴건 몰라도 부검은 꼭 해야겠습니다.,80
121,상대 봐 가면서 객기 부려.,80
122,박 처장 건드려서 살아남은 놈 못봤다.,80
123,"부천서 성고문 사건 때, 그 새끼들이 하자는 대로 기소 유예했다가 우리만 똥물 뒤",80
124,집어썼습니다. 이번엔 법대로 하시죠.,80
125,야.,80
126,지나가는 사람 아무나 잡아다가 사돈에 팔촌까지 털어봐.,80
127,월북자 한명쯤 나오게 돼 있어. 남영동 무서운 줄 모르고...,80
128,"정황상, 고문치사가 확실합니다.",80
129,그래서 더 안되는 거야. 밖에 알려졌다간 어후... 감당 못해.,80
130,그니까 더 깔끔하게 해야죠. 까딱하면. 우리가 죽습니다.,80
131,아이고... 이 꼴통...,80
132,그거 좋네!,80
133,선배님은 그냥 꼴통이 땡깡 부린다고 혀만 끌끌 차십쇼. 제가 알아서,80
134,하겠습니다.,80
135,... 자신 있어?,80
136,없죠.,80
137,???,80
138,주사는 있죠. 제가.,80
139,크... 술은 역시 빈속이야. 허허허.,80
140,과장님. 밤새 안녕하셨습니까?,80
141,"어, 신기자.",80
142,오~ 얘기 잘됐네요?... 예....,80
143,염려마십쇼.,80
144,오늘도 일착이네?,80
145,부지런해야 뭐라도 건지죠.,80
146,후... 경찰들. 큰일났어. 서울대생이라지?,80
147,예..?,80
148,그..그러게요... 법대생.. 이라던가?...,80
149,언어학과 아닌가? 박종... 뭐라던데...,80
150,"아, 그렇죠. 언어학과...",80
151,"아까운 목숨이 참... 남영동 애들, 막 나가서 큰일이야.",80
152,부장! 남영동에서 조사받던 서울대생이 사망했답니다.,80
153,우리 철이가 여 있나?,80
154,와?,80
155,아. 그... 좀 다쳐서요. 들어가시죠.,80
156,놔라! 내를 영안실로 와 데꼬오노?,80
157,철이 아부지. 여서 뭐합니까?,80
158,우리 철이 어데 있는...,80
159,뭐하다 이제 처먹냐?,80
160,응?,80
161,상삼이가 노동운동 후원회 사건. 5단 기사 썼어요. 글빨이 일취월장입니다.,80
162,글빨 죽여서 뭐해? 불러준대로 안 쓰면,80
