,Dialogue,age
0,팩스로 처리하도록...,90
1,전국이 대체로 맑겠고 아침에는 안개...,90
2,57분 교통 정보입니다,90
3,출근길 절정에서 벗어나긴 했지만,90
4,여전히 많이 밀리고 있습니다,90
5,서울 외곽 순환 고속 도로 하남에서 서울 하일 나들목 구간은 ,90
6,하일 나들목 들어서는 부근에서,90
7,승용차 관련 사고까지 발생해서 서하남부터 3킬로미터 정체고요,90
8,이전 송파 나들목 부근 정체도 늘어나는 상황입니다,90
9,경부 고속 도로 서울 쪽으로 있던,90
10,잠원 나들목 부근 추돌 사고는 정리가 됐지만,90
11,달래내 부근에서 반포 쪽 진행이 더 어려워진 상태입니다,90
12,강변 북로 마포 대교와 원효 대교 사이 추돌 사고도 정리는 됐는데요,90
13,정체가 가중된 상황이고요 ,90
14,올림픽 대로 노량 대교에서 반포 대교 쪽으로 가는 데 ,90
15,30분 이상 걸리고 있습니다,90
16,"다리 위에서는 성수 대교, 동호 대교",90
17,한남 대교 모두 양방향으로 건너가기 어렵고요,90
18,천호 대교는 이제 강북 쪽으로 밀리기 시작했습니다,90
19,강변 북로가 마포 대교에서 한강 대교 쪽으로 속도 떨어지고 ,90
20,동부 간선 도로 의정부 쪽으로는,90
21,이화교 부근부터 정체가 되고 있습니다,90
22,아직 오픈을 안 했...,90
23,혹시 찾으시는 거 있으세요?,90
24,콩으로 만든 거 없나? 두부나...,90
25,"그, 두유는 안 되나요?",90
26,그거라도 줘요,90
27,잠시 후 9시를 알려드립니다,90
28,우유는 안 되겠죠?,90
29,콩이어야 되는데,90
30,저 위로 올라가면 슈퍼마켓이 있는데,90
31,"방송, 사랑 그리고 비행기",90
32,이 세 가지의 공통점이 뭔지 아세요?,90
33,출발할 때 에너지가 가장 많이 든다,90
34,안녕하세요,90
35,기적이네,90
36,오늘부터 '음악앨범'의 진행을 맡은 새로운 디제이 유열입니다,90
37,땅에서 바퀴를 들어 올릴 때...,90
38,1994년 10월 1일 '유열의 음악앨범'... ,90
39,"어? 유열, 디제이 바뀌었네?",90
40,나 유열 완전 팬인데,90
41,"언니, 아침 댓바람부터",90
42,쟤가 두부 없냐고 하더니,90
43,두부?,90
44,저기 들어갔어,90
45,갔다 온 거네,90
46,감방?,90
47,설마 저 얼굴로?,90
48,"아, 깜짝이야",90
49,빨리 안 뛰냐?,90
50,"언니! 어머니도 계셨네, 안녕하세요",90
51,"-  여기요 - 네, 감사합니다",90
52,수고하세요,90
53,- 다음에 또 오세요 -  네,90
54,너 내가 시험이라고 오지 말라고...,90
55,열심히 할게요,90
56,쟤 뭐야?,90
57,이거 옮기면 되죠?,90
58,"-  어, 어, 너 빨리... -  언니는 옷 갈아입어",90
59,"내가 할게, 너 학교 가",90
60,학교 저 안 가요,90
61,두 분은 각자 알아서 할 일 하세요,90
62,"야, 너 왜 학교 안 가?",90
63,그만뒀어요,90
64,너 진짜 갔다 온 거야?,90
65,어딜요?,90
66,감방,90
67,별로 말하고 싶지 않은데,90
68,"그래, 그러든가",90
69,음,90
70,"야, 두부",90
71,너 거기 감방 얘기 좀 해 봐,90
72,"그래, 그러든가",90
73,두 분 가족 아니죠?,90
74,말 안 해 줄 거지롱,90
75,"우리 안 닮긴 했나 봐, 그렇지?",90
76,언니 열여덟 살 때인가,90
77,그때 우리 집으로 왔어,90
78,와서 바로 반죽부터 배웠는데,90
79,금방 우리 엄마만큼 하더라,90
80,엄마가 나보다 언니를 훨씬 더 많이 의지했어,90
81,가족 맞아,90
82,"아이고, 저녁 장사나 해야겠다",90
83,소년원에 있을 때,90
84,아침 9시만 되면 식사하러 갔어요,90
85,그때마다 시그널 음악 들으면서,90
86,"아, 오늘이 시작됐구나' ",90
87,아침 다 먹고 식판 치우면,90
88,리포터가 나와서 얘기하고,90
89,그러면 9시 50분쯤?,90
90,그리고 매일 기도해요,90
91,'오늘은 나가게 해 주세요',90
92,'제발',90
93,기도하고 나면 저 프로가 끝나요,90
94,그땐 체념해요,90
95,오늘은 아무 일도 안 생기겠구나,90
96,며칠 아침마다 그러다가 어느 날 불쑥 그랬거든요,90
97,내가 이곳을 나갈 때,90
98,세상에 뭐 하나라도 바뀌어 있게 해 주세요,90
99,그대로이면 정말 못 살 것 같아요 ,90
100,저 위쪽으로 가면 슈퍼마켓 있거든요?,90
101,"방송, 사랑 그리고 비행기",90
102,이 세 가지의 공통점이 뭔지 아세요?,90
103,출발할 때 에너지가 가장 많이 든다,90
104,기적이네,90
105,안녕하세요,90
106,오늘부터 '음악앨범'의 진행을 맡은 새로운 디제이 유열입니다,90
107,그래,90
108,그게 기적이 될 수 있겠구나,90
109,기적 참 별거 아니야,90
110,그렇지?,90
111,커튼 좀 쳐 줘,90
112,마실 것도 줄까?,90
113,-  왔어? -  어,90
114,얘 잘 먹는다?,90
115,짠!,90
116,어때?,90
117,맛있어?,90
118,아니...,90
119,"이쪽으로 이렇게, 이렇게 봐 봐 살살, 이렇게 돌려...",90
120,어떻게...,90
121,캡,90
122,-  거울 좀 주세요 -  완벽해,90
123,거울 봐야 될 거 같은데,90
124,"오케이, 오케이, 지금 딱이야",90
125,"됐어, 됐어, 안 봐도 돼, 됐어",90
126,야 ,90
127,어서 오세요,90
128,"오빠, 내일도 나와요?",90
129,내일 나와요,90
130,-  모레는요? 모레는요? -  예,90
131,"아, 많이 파세요 ",90
132,너무 잘생겼어,90
133,집에들 가세요,90
134,누구야?,90
135,-  내가 어떻게 알아? -  뭐야?,90
136,근데 누난 몇 년 생이에요?,90
137,75,90
138,어? 나도 75인데,90
139,난 빠른 75야,90
140,내 친구들은 다 74야,90
141,"아, 그러시구나",90
142,이거 뭐예요?,90
143,"'빵 싫어, 빵, 빵, 빵'",90
144,그거,90
145,내가 어렸을 때 낙서해 놓은 거야,90
146,나 원래 빵 싫어했거든,90
147,제가 여기 아들이었으면 나 엄청 좋았을 것 같은데요,90
148,언니,90
149,왔어?,90
150,어? 아직 안 갔어?,90
151,너 태어나서 이렇게 깜찍한 애들 본 적 있냐?,90
152,못 봤지,90
153,"미니, 미니, 캡, 캡",90
154,너무 예쁘다,90
155,"아, 현우야, 이거 트리 박스인데",90
156,그거 꺼내서 먼지만 좀 털어 줘,90
157,그것만 하고 가,90
158,두부 늦게 가도 된대,90
159,돕는다는데?,90
160,그래?,90
161,그럴래?,90
162,응,90
163,매상 좀 확 올려 볼까나?,90
164,그거 밖에 설치하자,90
165,밖에?,90
166,요?,90
167,말 편하게 해,90
168,친구들 중에 75도 많아,90
169,알았어,90
170,와,90
171,엄마가 항상 트리 밖에 설치하셨어,90
172,우리만 보지 말자고,90
173,예쁘다,90
174,"이야, 이쁘다!",90
175,예쁘다!,90
176,"-  야, 야, 추워, 추워, 추워 -  우아!",90
177,-  자 -  역시,90
178,얘가 옆에 있는 게 낫겠다,90
179,-  이거? -  응,90
180,우리 사진 찍으면 안 돼?,90
181,사진?,90
182,셋이 같이,90
183,"다, 이거 케이크도 나오게",90
184,그러면 진짜 좋겠다,90
185,이거 남겨야 돼,90
186,우리 이름도 붙일까?,90
187,이름?,90
188,"날아라, 병아리 케이크",90
189,기억의 습작 케이크?,90
190,오래전 그날 케이크,90
191,"참, 뭔 소리래? ",90
192,한 해 끝날 때 가요 대상 같은 거 하잖아요,90
193,"우리도 뭐, 가요 도넛 대상",90
194,그러면 난 김동률 거는 별 모양으로 붙일래,90
195,"그래, 그러자 ",90
196,"아니, 무슨 공사를 크리스마스에 맞춰서 해?",90
197,예전에는 케이크가 없어서 못 팔았는데,90
198,"빌라 들어온대, 손님 늘 거야",90
199,야!,90
200,"아, 이게 더 시끄러워!",90
201,어서 오세요,90
202,"친구야, 메리 크리스마스",90
203,친구?,90
204,"네가 여기 왜, 왜 있는 거야?",90
205,넌 여기 왜...,90
206,"아니, 나는 근처에서 일하고 있었지 집 나왔잖아",90
207,"아, 추워, 뒈질 것 같아",90
208,아,90
209,"저기, 여기 쉬었다 갈게",90
210,오,90
211,우유도 좀 드릴까요?,90
212,아니요,90
213,"아니, 가출을 봄에 해야 되는데 겨울에 하니까 개고생하네, 진짜",90
214,내가 얘 은인인데,90
215,얘 감방에 있을 때 내가 꺼내 줬거든요,90
216,깜짝 놀랐어요,90
217,"야, 너 그때 나 아니었으면",90
218,지금쯤 '크리스마스 인 감방'일 뻔했다 그렇지?,90
219,-  병아리 -  삐악삐악,90
220,"아이고, 왔네 ",90
221,-  안녕하세요 -  안녕 ,90
222,-  천천히 한 사람씩 -  들어오세요,90
223,안녕하세요,90
224,"이모가 줄게, 자 ",90
225,"선생님, 여기 엠앤엠 있어요",90
226,어? 어떤 거?,90
227,"-  빨리 와라, 새끼야, 빨리 -  뭐 하냐, 너?",90
228,-  몇 시야? -  현우한테 인사 좀 하자,90
229,"아, 진짜, 씨 ",90
230,"-  쟤 머리 한 거 봐라, 저거 -  야, 이제 연락하냐",90
231,"아, 몇 시냐고?",90
232,"야, 미친 기름집 오거리라고 하면 될 것을",90
233,"뭐, 여기라 그러면 내가 어떻게 알아? ",90
234,"-  알아야지 -  야, 머리는 또 어디서 했냐?",90
235,우리 다 한 번에 왔어,90
236,"너만 늦게 왔어, 이 멍청이야!",90
237,가지고 나가,90
238,"아이, 아, 팔아 주려고 왔잖아요, 우리",90
239,-  괜찮아 -  예?,90
240,"야, 알았어, 나가서 얘기하자",90
241,"아줌마, 아, 뭘 나가서 얘기해? ",90
242,-  뒈진다 -  아줌마,90
243,다 나가!,90
244,현우야!,90
245,"가불 좀 해 줄 수 있으, 있으세요?",90
246,-  가자 -  가자!,90
247,"현우야, 가자 ",90
248,나쁜 애들은 아니에요,90
249,쟤 갈 것 같지?,90
250,"응, 그렇지?",90
251,돌아오지 않을 것 같지?,90
252,응,90
253,너무 잘생겼어,90
254,-  공 -  칠,90
255,빵,90
256,으악!,90
257,"야, 마셔야 돼, 이거 마셔야 돼 ",90
258,"아, 이 새끼 봐라, 진짜 ",90
259,"지저분하게, 야 ",90
260,"야, 손가락을",90
261,"정확하게 가리키라고, 가슴으로 ",90
262,"-  야, 까딱까딱거리지 말고 -  이상하게 그렇게 하지 말고",90
