,Dialogue,age
0,어우 저 똥개 새끼.,80
1,이 새긴 또 뭐야?!,80
2,거..거 참...!,80
3,"야 성진아, 발바리 새끼 이거 어떡할 거야?",80
4,나 서장한테 또 불려갔다 왔어! 위에서 관심 가지니까 눈이 벌게 가지고 닦달을 해대는데...,80
5,혈기왕성한 애들 몸으로 막느라 허리가 다 휘네.,80
6,금강산댐인지 지랄댐 인지... 형사들만 죽어나는구나.,80
7,그러게 강력반은 좀 빼주면 안되나?,80
8,그게 공무원이란 놈이 할 말이야!,80
9,이 자식이 어른 앞에서... 담배 안꺼?!,80
10,"장관 집, 국회의원 집만 턴다고 사람들이 홍길동이네 뭐네 난리야! 이 러다 니 모가지고 내 모가지고 다 날아가!",80
11,발바리 새끼 좀 어떻게 좀 해봐 빨리!,80
12,시간을 주던가. 인원을 잡아주던가.,80
13,안 그래도 왔어!,80
14,웅...?,80
15,충성!,80
16,어? 어! 왜 거기 앉아있어?,80
17,형사는 삼팔선 안 쪽에 있어야지.,80
18,그..그게.. 아직 자리가 없어서 그랬습니다!,80
19,새끼 인상하고는... 참 착하게 생겼네.,80
20,어렵게 받아왔으니까 잘 가르쳐 봐.,80
21,지가 알아서 크는 거지 뭘.,80
22,어디가?!,80
23,발바리 잡아오라면서? 전농동으로 잠복하러가지오.,80
24,그...그래. 아! 전농동? 나가는 김에 그 근처에 광명세탁소 좀 들러라.,80
25,피 묻은 옷이 들어왔다고 신고가 세 번이나 들어왔어.,80
26,거 하나씩 합시다. 하나씩!,80
27,"하여간 고분고분 듣는 적이 없어 그냥. 저, 저 싸가지 없는 새끼.",80
28,야 멧돼지.,80
29,뭐...뭐야?!!,80
30,안 따라와?!,80
31,네!,80
32,안녕하셨죠?,80
33,자네... 여긴 무슨 일로?,80
34,강의 시간이니 볼 일 있으면 강의 끝나고 찾아오게.,80
35,교수님이 작성하셨더군요.,80
36,남산으로 갔다더니...,80
37,원칙과 소신을 지킬 뿐입니다. 교수님이 가르쳐 주신대로.,80
38,강의 시간이네. 나가주게.,80
39,그럼 학생들 앞에서 할까요?,80
40,너 이 놈!,80
41,뭐하는 짓입니까!,80
42,죄송합니다. 놀라셨죠?,80
43,내가 알던 최규남은 어디로 갔나?,80
44,순진하고 치기어린 생각이 이 나라 국민들을 배부르게 하지는 않습니다.,80
45,교수님도 이제 아셔야죠.,80
46,학생들 들여보내.,80
47,니들만 배부른 게 아니고? 차라리 날 잡아가!,80
48,아직은 아닙니다. 하지만 앞으로는 교수님께 달렸죠.,80
49,계속 지켜보고 있겠습니다. 그럼.,80
50,저 놈이에요,80
51,청바지 찾으러 왔어?,80
52,네?! 네? 저요?!,80
53,"웅, 너. 이리 좀 와봐.",80
54,왜..왜요?,80
55,글쎄 이리 와봐.,80
56,아! 죄 없는 사람한테 왜 이래요?,80
57,죄 없는 놈이 도망은 왜 가?,80
58,무..무서워서 그러죠...,80
59,떴습니다. 발바리.,80
60,오케이!,80
61,너 꼼짝 말고 기다려. 알았어! 가자!,80
62,이거 풀어줘요!,80
63,봤지? 열이면 아홉은 여자집이야. 기똥차지?,80
64,아! 기똥찹니다!,80
65,마누라 말고 여자 응? 꼭 기억해두라고.,80
66,계세요? 수도국에서 나왔는데요! 최미자씨 계시죠?,80
67,왜요?,80
68,건물 정화조가 넘쳐서 하수도 배관을 봐야 돼요.,80
69,나중에 하시면 안돼요? 지금 좀 바쁜데.,80
70,그게... 제때 점검을 안 하면 똥냄새가 나서...,80
71,"오빠, 도망쳐!!!",80
72,니미럴... 짭새 새끼...,80
73,아이고 고생 많다.,80
74,열에 아홉은 옥상이야.,80
75,기똥찹니다.,80
76,얌마!,80
77,네?,80
78,수갑!!,80
79,네..넵!,80
80,너 때문이야.,80
81,이 새끼야!!!,80
82,저 새끼가 발바리야.,80
83,내 말 무슨 말인지 알겠지?,80
84,뭐래는 거야.,80
85,알겠어? 모르겠어!?!,80
86,말은 알아먹겠는데.,80
87,나 매일같이 서장실 불려가는 거 몰라? 아까 재떨이 맞을 뻔 했어. 모가지 날아가기 싫으면 무조건 잡아내라는 데 그럼 어떻게 해?,80
88,지금 형사보고 사기 치라는 겁니까?,80
89,사기라니? 다 그놈이 그놈인데 뭘 그래!,80
90,서장 새끼!,80
91,위에서 관심 가진 건이라고 하니까 눈이 벌개졌어.,80
92,이번에 어떻게 공천 받아보겠다고 순번 뽑아 든 모양이야.,80
93,너나 나나 용빼는 재주 있어?,80
94,깔끔하게 잘좀 처리하자. 믿는다.,80
95,내가 이 짓을 때려치우든가 해야지...,80
96,"저 새끼 저거, 신원부터 파악해!",80
97,"이건 불편해서 안되고, 저건 민감해서 안되고! 그러면 신문이 왜 있어?",80
98,정치면 사회면은 왜 두냐고?!,80
99,그럼 지면 싹 비우고 광고나 실던가!!,80
