path,label
./data/test/Etc/monkey (1).jpg,Etc
./data/test/Etc/monkey (10).jpg,Etc
./data/test/Etc/monkey (100).jpg,Etc
./data/test/Etc/monkey (101).jpg,Etc
./data/test/Etc/monkey (102).jpg,Etc
./data/test/Etc/monkey (103).jpg,Etc
./data/test/Etc/monkey (104).jpg,Etc
./data/test/Etc/monkey (105).jpg,Etc
./data/test/Etc/monkey (106).jpg,Etc
./data/test/Etc/monkey (107).jpg,Etc
./data/test/Etc/monkey (108).jpg,Etc
./data/test/Etc/monkey (109).jpg,Etc
./data/test/Etc/monkey (11).jpg,Etc
./data/test/Etc/monkey (110).jpg,Etc
./data/test/Etc/monkey (111).jpg,Etc
./data/test/Etc/monkey (112).jpg,Etc
./data/test/Etc/monkey (113).jpg,Etc
./data/test/Etc/monkey (114).jpg,Etc
./data/test/Etc/monkey (115).jpg,Etc
./data/test/Etc/monkey (116).jpg,Etc
./data/test/Etc/monkey (117).jpg,Etc
./data/test/Etc/monkey (118).jpg,Etc
./data/test/Etc/monkey (119).jpg,Etc
./data/test/Etc/monkey (12).jpg,Etc
./data/test/Etc/monkey (120).jpg,Etc
./data/test/Etc/monkey (121).jpg,Etc
./data/test/Etc/monkey (122).jpg,Etc
./data/test/Etc/monkey (123).jpg,Etc
./data/test/Etc/monkey (124).jpg,Etc
./data/test/Etc/monkey (125).jpg,Etc
./data/test/Etc/monkey (126).jpg,Etc
./data/test/Etc/monkey (127).jpg,Etc
./data/test/Etc/monkey (128).jpg,Etc
./data/test/Etc/monkey (129).jpg,Etc
./data/test/Etc/monkey (13).jpg,Etc
./data/test/Etc/monkey (130).jpg,Etc
./data/test/Etc/monkey (131).jpg,Etc
./data/test/Etc/monkey (132).jpg,Etc
./data/test/Etc/monkey (133).jpg,Etc
./data/test/Etc/monkey (14).jpg,Etc
./data/test/Etc/monkey (15).jpg,Etc
./data/test/Etc/monkey (16).jpg,Etc
./data/test/Etc/monkey (17).jpg,Etc
./data/test/Etc/monkey (18).jpg,Etc
./data/test/Etc/monkey (19).jpg,Etc
./data/test/Etc/monkey (2).jpg,Etc
./data/test/Etc/monkey (20).jpg,Etc
./data/test/Etc/monkey (21).jpg,Etc
./data/test/Etc/monkey (22).jpg,Etc
./data/test/Etc/monkey (23).jpg,Etc
./data/test/Etc/monkey (24).jpg,Etc
./data/test/Etc/monkey (25).jpg,Etc
./data/test/Etc/monkey (26).jpg,Etc
./data/test/Etc/monkey (27).jpg,Etc
./data/test/Etc/monkey (28).jpg,Etc
./data/test/Etc/monkey (29).jpg,Etc
./data/test/Etc/monkey (3).jpg,Etc
./data/test/Etc/monkey (30).jpg,Etc
./data/test/Etc/monkey (31).jpg,Etc
./data/test/Etc/monkey (32).jpg,Etc
./data/test/Etc/monkey (33).jpg,Etc
./data/test/Etc/monkey (34).jpg,Etc
./data/test/Etc/monkey (35).jpg,Etc
./data/test/Etc/monkey (36).jpg,Etc
./data/test/Etc/monkey (37).jpg,Etc
./data/test/Etc/monkey (38).jpg,Etc
./data/test/Etc/monkey (39).jpg,Etc
./data/test/Etc/monkey (4).jpg,Etc
./data/test/Etc/monkey (40).jpg,Etc
./data/test/Etc/monkey (41).jpg,Etc
./data/test/Etc/monkey (42).jpg,Etc
./data/test/Etc/monkey (43).jpg,Etc
./data/test/Etc/monkey (44).jpg,Etc
./data/test/Etc/monkey (45).jpg,Etc
./data/test/Etc/monkey (46).jpg,Etc
./data/test/Etc/monkey (47).jpg,Etc
./data/test/Etc/monkey (48).jpg,Etc
./data/test/Etc/monkey (49).jpg,Etc
./data/test/Etc/monkey (5).jpg,Etc
./data/test/Etc/monkey (50).jpg,Etc
./data/test/Etc/monkey (51).jpg,Etc
./data/test/Etc/monkey (52).jpg,Etc
./data/test/Etc/monkey (53).jpg,Etc
./data/test/Etc/monkey (54).jpg,Etc
./data/test/Etc/monkey (55).jpg,Etc
./data/test/Etc/monkey (56).jpg,Etc
./data/test/Etc/monkey (57).jpg,Etc
./data/test/Etc/monkey (58).jpg,Etc
./data/test/Etc/monkey (59).jpg,Etc
./data/test/Etc/monkey (6).jpg,Etc
./data/test/Etc/monkey (60).jpg,Etc
./data/test/Etc/monkey (61).jpg,Etc
./data/test/Etc/monkey (62).jpg,Etc
./data/test/Etc/monkey (63).jpg,Etc
./data/test/Etc/monkey (64).jpg,Etc
./data/test/Etc/monkey (65).jpg,Etc
./data/test/Etc/monkey (66).jpg,Etc
./data/test/Etc/monkey (67).jpg,Etc
./data/test/Etc/monkey (68).jpg,Etc
./data/test/Etc/monkey (69).jpg,Etc
./data/test/Etc/monkey (7).jpg,Etc
./data/test/Etc/monkey (70).jpg,Etc
./data/test/Etc/monkey (71).jpg,Etc
./data/test/Etc/monkey (72).jpg,Etc
./data/test/Etc/monkey (73).jpg,Etc
./data/test/Etc/monkey (74).jpg,Etc
./data/test/Etc/monkey (75).jpg,Etc
./data/test/Etc/monkey (76).jpg,Etc
./data/test/Etc/monkey (77).jpg,Etc
./data/test/Etc/monkey (78).jpg,Etc
./data/test/Etc/monkey (79).jpg,Etc
./data/test/Etc/monkey (8).jpg,Etc
./data/test/Etc/monkey (80).jpg,Etc
./data/test/Etc/monkey (81).jpg,Etc
./data/test/Etc/monkey (82).jpg,Etc
./data/test/Etc/monkey (83).jpg,Etc
./data/test/Etc/monkey (84).jpg,Etc
./data/test/Etc/monkey (85).jpg,Etc
./data/test/Etc/monkey (86).jpg,Etc
./data/test/Etc/monkey (87).jpg,Etc
./data/test/Etc/monkey (88).jpg,Etc
./data/test/Etc/monkey (89).jpg,Etc
./data/test/Etc/monkey (9).jpg,Etc
./data/test/Etc/monkey (90).jpg,Etc
./data/test/Etc/monkey (91).jpg,Etc
./data/test/Etc/monkey (92).jpg,Etc
./data/test/Etc/monkey (93).jpg,Etc
./data/test/Etc/monkey (94).jpg,Etc
./data/test/Etc/monkey (95).jpg,Etc
./data/test/Etc/monkey (96).jpg,Etc
./data/test/Etc/monkey (97).jpg,Etc
./data/test/Etc/monkey (98).jpg,Etc
./data/test/Etc/monkey (99).jpg,Etc
